index,comments,Label,LabelConfidence
17252129,Food was being prepared but the app show in progress.,App to improve,1
17254818,I really enjoy the breakfast taco. Very good.,Good taste,1
17255799,Less variety,Not enough options,1
17250884,Delicious and nutritious,"Good taste,Good food quality","1,1"
17253115,Great friendly service 👌,Good services,1
17257393,Over cooked chicken,Bad quality or taste,1
17249847,"Best omelette by this chef. Hands down! Not burnt, not runny.","Good food quality,Good services","1,1"
17257389,Outstanding!!,Global positive feedbacks,1
17256931,Nicest staff ever,Good services,1
17249790,Barely any chicken in the salad,"Portion too small,Bad quality or taste","1,1"
17256981,No dodexo discount,Bad service,1
17250983,Did not receive what I ordered.,Wrong or missing order,1
17257049,No vegetable,Not enough options,1
17255874,"Love that it is a black bean burger and not imitation meat (impossible, beyond, etc.). Also the patty thickness was perfect. Well prepared. Thank you!","Good taste,Good food quality,Good services","1,1,1"
17252253,For tortila soup i would expect to have crispy tortillas,Bad quality or taste,1
17251032,Disappointing that the croutons were soggy. Very unusual for a Caesar salad.,Bad quality or taste,1
17253961,Hoping that next month you can rotate in some new salad ingredients. I keep ordering the exact same one because I only like 5 of the 8 veggie options. Keep the shrimp tho 😋,Not enough options,1
17251788,Excellent service thank you,Good services,1
17251798,Excellent service. Food too salty.,"Good services,Bad quality or taste","1,1"
17249234,Awesome!!!!,Global positive feedbacks,1
17256271,My order always is missing. Looks like my order doesn't snt go through,Wrong or missing order,1
17255113,"It was very good, potatoes not so much","Good taste,Bad quality or taste","1,1"
17252168,Food was great,Good food quality,1
17255123,It would be good to get the calorie content :),App to improve,1
17249905,"Both items were tasteless.""",Bad quality or taste,1
17257131,"Not ready at 12, pizza stuck to box when collected","Waited too long,Bad quality or taste","1,1"
17254115,I got the focus 'kiwi-strawberry' flavored one but I couldn't find the listing in the app. Tried to use the scan and go option and it didn't register. Don't know how important it is for inventory but wanted to give you guys a heads up,App to improve,1
17253847,Gyro needs more flavor,Bad quality or taste,1
17251859,Fabulous as always,Global positive feedbacks,1
17250996,Didn’t like inability to choose salad dressing.,Not enough options,1
17250899,Delicious food,Good taste,1
17257777,"Quit prompting me to ""rate my experience"" every time I open your app. It is very annoying.",App to improve,1
17249951,Brilliant as always,Global positive feedbacks,1
17256275,My order arrived very quickly and was delicious!,"Good taste,Arrived on time","1,1"
17252887,Good dish,Good taste,1
17250017,C,Other,1
17249079,App didn’t take my first order,App to improve,1
17249162,Asked for mayonnaise and mustard packets—did not include them,Wrong or missing order,1
17256900,Nice,Global positive feedbacks,1
17255053,It was burnt and you could of broke windows with the beef it was that tough.,Bad quality or taste,1
17250221,Coffee grounds in the coffee,Bad quality or taste,1
17251909,"Fantastic service, spot in!",Good services,1
17257592,Please put the cheese in a side cup on salads. Many people don't consume dairy.,Inappropriate packaging,1
17254028,"I can honestly say this is the best meal I have had since coming back to office. It had great flavor, just right amount of heat, spice, and amount of each ingredient. Really glad I tried it. I know I will be ordering again.","Good taste,Good food temperature","1,1"
17248841,Aimee was great,Good services,1
17257576,"Please mark chicken as Halal, since it comes from Halal source, as staff mentioned",Global negative feedbacks,1
17251853,Fab thank you X,Global positive feedbacks,1
17255099,It was ready before the pick up time. The staff was very friendly.,"Good services,Arrived on time","1,1"
17252935,Good stuff?,Global positive feedbacks,1
17253901,"Hash browns were extremely dry, usually they are good and edible but today they were not edible whatsoever and I ended up throwing them away. Waste of money!",Bad quality or taste,1
17254802,I paid right at 2.00 for 4 very small piece's of watermelon 😏,"Portion too small,Too expensive","1,1"
17249029,Amazing staff!❤,Good services,1
17250064,"Can’t get enough ! Thank you , ASML",Global positive feedbacks,1
17251863,Fabulous salad,Good taste,1
17253925,Hella money,Too expensive,1
17250170,Chicken was soggy and not enjoyable,Bad quality or taste,1
17251910,Fantastic service. Very impressed.,Good services,1
17255132,"it would be helpful to have an iPad available for those that want to place an order but can’t""",Bad service,1
17256160,"Mixed order I a bit, put bacon I ordered into the tacos instead of on the side and there was no chorizo",Wrong or missing order,1
17256965,No chicken,"Wrong or missing order,Product not available","1,1"
17257611,"Please try to do better and prepare it the way it is pictured on the app.""","Misleading images,Bad quality or taste","1,1"
17250824,"Croutons were literally sponges. Salad was not fresh at all. There needs to be proper vegetable options offered bother cooked and fresh, other than just Romain lettuce with soggy bread on top. Not everyone eats bread and meat.","Bad quality or taste,Not enough options","1,1"
17255078,It was missing the chicken.,Wrong or missing order,1
17255224,Kelly was really helpful and efficient and sorted the error I had made with my order location,Good services,1
17250119,Chicken fingers were overcooked and I should have returned it because I saw another person getting a better serving of the same item.,Bad quality or taste,1
17254099,I feel that two strips of fish is not an adequate portion. May this meal have 3 strips of fish?,Portion too small,1
17252797,Friendly customer service and quick service,"Arrived on time,Good services","1,1"
17252173,Food was great but portion size has decreased,"Good taste,Portion too small","1,1"
17257002,"No issues w the food. Just that I put the request to pick up at 11:30 when I was available but got a notice that it is ready now, 23 mins early.",Bad service,1
17252134,Food was cold today,Bad food temperature,1
17256908,Nice clean environment and the food is always on time and fresh,"Good food quality,Arrived on time,Global positive feedbacks","1,1,1"
17256863,Need to add the Caesar chicken salad to the menu,Not enough options,1
17248806,A+,Global positive feedbacks,1
17256287,My order was missing it’s Diwali chicken curry. The member of staff covering for Sue ordered a new one but took 15 mins to arrive. Also walking back I noticed that the cutlery I ordered was also missing so had to go back.,"Global negative feedbacks,Waited too long","1,1"
17250110,Chicken and potatoes were extremely dry and cold,"Bad quality or taste,Bad food temperature","1,1"
17255046,It was a nice flavour. Think because baguette is in the bag goes soggy after a while.,"Good taste,Inappropriate packaging","1,1"
17254280,I ordered the curry it was piping hot lovely and on time,"Arrived on time,Good taste,Good food temperature","1,1,1"
17248950,Always great! Thanks!,Global positive feedbacks,1
17251925,Fast & great,"Global positive feedbacks,Arrived on time","1,1"
17257032,No sauce on sandwich,Wrong or missing order,1
17256057,Margarita pizza was drowning in balsamic vinegar,Bad quality or taste,1
17249257,"Bacon sandwich good. Banana looked/felt like it had been dropped, binned as inedible","Bad quality or taste,Good taste","1,1"
17253118,Great help and glad to have dinner in office.,Good services,1
17255946,Loved the Chicken fajita today!,Good taste,1
17255915,Love the staff here,Good services,1
17254117,I got the notice my food was ready 45 minutes after it was actually ready for pick up.,"Waited too long,App to improve","1,1"
17255929,Love those girls,Good services,1
17254877,I waited 20 minutes today while the staff had a meeting in plain sight. One member came out to me and showed me my pizza laying uncovered. The manager came out and said the app is convenient so I could have ordered my food the previous day. UNACCEPTABLE.,"Waited too long,Bad service","1,1"
17254817,I really appreciate that the preparer reads my requests to leave stuff off (e. G. No cheese).,Good services,1
17255100,"It was really yummy, thanks!",Good taste,1
17255166,I've complained and the employee seems not interested.,Bad service,1
17257102,Not enough protein. I only got two strips of beef,Portion too small,1
17251865,Fabulous staff.,Good services,1
17251121,"Every time I’ve ordered the double burger, it comes with cheese on it. Even though I have validated I’m not selecting the cheeseburger option. This is the 3rd or 4th time in a row.",Wrong or missing order,1
17257455,Perfect perfect perfect,Global positive feedbacks,1
17250933,Delicious! Thanks!,Good taste,1
17249138,"Are you still using the loyalty program? Buy 8 9th one free, I don't see a change with my frequent ordering?",Global negative feedbacks,1
17256942,No bacon on my burger.,Wrong or missing order,1
17257433,Panner was dry and I had stomach ache after eating it,Bad quality or taste,1
17251829,Exceptional service. Food is great and soup is amazing,"Good services,Good taste,Good food quality","1,1,1"
17250005,Busy breakfast. Chef needs glasses to read orders,Bad service,1
17251998,Fish tasted fantastic.,Good taste,1
17257052,No wait time. Pizza was well made and flavorful.,"Good taste,Good food quality,Arrived on time","1,1,1"
17254979,Improve reordering previous orders in app. To re-order coffee it takes 8 taps (including getting out of the rate your experience screen that comes up before every order). Many thanks.,App to improve,1
17255126,"It would be great to have a build your own breakfast sandwich. Have different bread, meat and cheese options.",Not enough options,1
17249870,"Between the ""everything bagel"" sea salt and the capers, just way too much salt for such a small dish. No balance of flavors, just salt and bread :(","Portion too small,Bad quality or taste","1,1"
17250823,Croissant was burnt and hard,Bad quality or taste,1
17249856,Best smoothie! So delicious! Staff is always super friendly! I always look forward to ordering from Freshii.,"Good taste,Good services","1,1"
17254829,I received fries but I ordered tots.,Wrong or missing order,1
17254830,I received regular bottled water instead of lemon; I guess lemon was sold out?,Wrong or missing order,1
17257703,Potion not too much,Portion too small,1
17249800,"Be more vegetarian friendly, what’s the need for 10 animal based proteins?",Not enough options,1
17256850,Need more gluten free options,Not enough options,1
17250789,Cottage pie was. Spot on.,Good taste,1
17257305,Order was not ready. Had to ask about it after waiting 5 minutes passed pick up time. It did not come up. Had to find it. Assuming system issue.,Waited too long,1
17253880,Happy,Global positive feedbacks,1
17253230,Great service thank you,Good services,1
17248932,"Always friendly, Always delicious ☕️","Good services,Good taste","1,1"
17251806,Excellent taste and a unique items.,Good taste,1
17257111,"Not fresh""",Bad quality or taste,1
17256964,No cheese was provided,Wrong or missing order,1
17249193,Awesome customer service,Good services,1
17257572,"Please let me know how I can be reimbursed for that amount. I can be reached at (415)590-0924.""",Other,1
17254011,I asked for extra lettuce and got barely any at all.,Portion too small,1
17255137,It would be nice to offer Oat milk.,Not enough options,1
17249929,Breakfast buffet thumbs up.,Good taste,1
17250906,Delicious meal! Thanks for this option!,Good taste,1
17255040,It tasted brilliant! Loved the soup,Good taste,1
17257330,Ordered a mocha and received a cappuccino,Wrong or missing order,1
17256058,Mariella is the best!! Such excellent customer service,Good services,1
17256089,Menu option was minimal and not a lot of dressing for salad nor seasoning,"Not enough options,Portion too small","1,1"
17256810,My salad was made incorrectly. It was supposed to be ready at 12:30 pm so I went down to get it. I stood and waited another 15 minutes before it was finally ready. This ordering system is a big waste of my time. I won’t eat here when we start paying.,Waited too long,1
17256993,No gravy with my meal for the 2nd time,Wrong or missing order,1
17257498,"Pizza could have been cooked a little longer.""",Bad quality or taste,1
17251879,Fantastic coffee!!!!,Good taste,1
17251024,Didn't receive the food,Wrong or missing order,1
17256956,No butter unfortunately,Wrong or missing order,1
17257660,Portion size is small.,Portion too small,1
17248840,"Aimee and Jess are such a wonderful team, the coffee was there straight away and they were super friendly","Good services,Arrived on time","1,1"
17251199,Excellent,Global positive feedbacks,1
17253267,Great staff! Thanks,Good services,1
17249887,"Bit salty, but good",Good taste,1
17252278,Found the salad had too much raw onion in it,Bad quality or taste,1
17256946,No bean pot delivered,Wrong or missing order,1
17255038,It said my food was ready and it was not. I even came 5 minutes after it said it was done.,Waited too long,1
17253983,"However, where are my loyalty points...lol""",Global negative feedbacks,1
17257195,Once again no ketchup and it was at 11.,"Wrong or missing order,Product not available","1,1"
17251918,"Fantastic, friendly and helpful service from the MWC Costa Coffee team","Good services,Global positive feedbacks","1,1"
17250926,Delicious 😀,Good taste,1
17251954,"Fiona is fabulous as always, she never fails to cheer up my day at the cart.",Good services,1
17249109,App slow,App to improve,1
17251868,Falafel would be pretty easy vegetarian protein option! :),Not enough options,1
17257013,"No mushy peas with the order, reported to the staff and delivered promptly.","Good services,Wrong or missing order,Arrived on time","1,1,1"
17257610,"Please train your staff on how to use alternative milks, it comes out vastly different every time. Flat whites indistinguishable from latte's etc","Bad service,Bad quality or taste","1,1"
17256078,"Meal was made well, but it did not appeal to me.","Good services,Bad quality or taste","1,1"
17257727,"Price too high, needs to be aligned with DFP cafeteria. Drinks are cheaper at the gas station",Too expensive,1
17252083,Food is very small portions. Half of what I have ordered so far was under cooked including the pastry items. Poor quality. Not satisfied.,"Portion too small,Bad quality or taste","1,1"
17255817,"Lilt stored with hot food, although I ordered for 1500 I didn’t get to pick it up from the box until 1700 by then the lilt was warm",Bad food temperature,1
17257488,"Pie was a bit mangled in transit I think and not too warm and crispy , but still tasty","Good taste,Bad food temperature,Bad quality or taste","1,1,1"
17250001,Burgers and chips seem always to be not hot when this option is served,Bad food temperature,1
17251176,"Everything was great, thanks!",Global positive feedbacks,1
17257373,"Otherwise- everything is great!""",Global positive feedbacks,1
17253996,I am not a big fan of the changes made with this system but one thing I really don’t like is say ordering something for the grill and say setting a time for 20-30 minutes only to find it was done for 5 minutes under warming lights. To expensive for that,"Too expensive,Bad quality or taste","1,1"
17249888,Bit sloppy,Bad service,1
17251869,Fantabulous!! Thank you so much!,Global positive feedbacks,1
17256928,Nice!,Global positive feedbacks,1
17251874,fantastic as always,Global positive feedbacks,1
17251802,Excellent shell. Was great. Missed guac,Global positive feedbacks,1
17257692,Portions are too small,Portion too small,1
17252838,Garlic bread was soggy,Bad quality or taste,1
17256903,Nice and hot. Gravy was perfect and was the right thickness.,"Good taste,Good food quality,Good food temperature","1,1,1"
17251109,Es bueno mas rapido,Other,1
17254062,I didn’t detect any Brie cheese,Wrong or missing order,1
17252284,French toast was good,Good taste,1
17251142,Everything is good!,Global positive feedbacks,1
17254180,I know we have limited numbers but there are no choice or healthy options,Not enough options,1
17255832,Lisa helped me sort out issues with the app so I could place my order. Great service!,Good services,1
17250075,Ceasar salad - salad was fresh and overall was tasty but the quality of the chicken was very poor - would be happy to pay more for better quality - also when this was previously served here the chicken was hot/warm which was better,"Good food quality,Good taste,Bad quality or taste,Bad food temperature","1,1,1,1"
17248839,Aiigt,Other,1
17252857,Glad to see your adding to the menu.,Global positive feedbacks,1
17251854,Fab thanslks Kelly and Mandy,Good services,1
17250101,Cheese was not melted and the bread was hardly toasted. It was basically a sandwich,"Bad quality or taste,Bad food temperature","1,1"
17249005,Amazing food and lovely staff thank you,"Good taste,Good services","1,1"
17250182,"CHIPOTLE, PANERA…Successful high quality volume food chains Vs:",Good food quality,1
17256018,Lovely. Thank you 😊,Global positive feedbacks,1
17256022,"Loving LoneStar Commons more, but small items like onions & bbq sauce were missed. No worries. Food is still awesome!","Good taste,Not enough options","1,1"
17257560,Please don’t me me review or cancel the review every order,App to improve,1
17252967,Got charged twice as my account was charged £6.80 for a jacket potato?!,Too expensive,1
17251200,excellent,Global positive feedbacks,1
17256012,Lovely wrap,Good taste,1
17252159,Food was good but ran out of brussel sprouts and was given an alternate item. Not a huge issue but food order wasn't quite what was expected,"Wrong or missing order,Good taste","1,1"
17256831,Na,Other,1
17257619,"Plz clean ketchup packets, they are sticky",Bad service,1
17252000,Fish very dry,Bad quality or taste,1
17252237,Food wasn't hot.,Bad food temperature,1
17248864,All good. Thanks team,Global positive feedbacks,1
17250026,Caleb and Virginia are great!,Good taste,1
17253277,Great support when it was realised l had an allergy. Much appreciated!,Good services,1
17249266,Bacon was overcooked,Bad quality or taste,1
17255107,"It was unclear to the staff member that roasted veggie wrap is a ready made item from the grab and go fridge and instead they served a different dish. The corndog and wrap were good, i saved the extra dish for dinner 👍🏼","Good taste,Wrong or missing order","1,1"
17250917,Delicious sandwich and great service. Thanks!,Good taste,1
17250197,Chocolate packaged next to hot food. Melted and inedible.,"Inappropriate packaging,Bad quality or taste","1,1"
17251882,Fantastic comfort food. Loved those oxtails!!,Good taste,1
17249855,Best shake maker !!!,"Good services,Good taste","1,1"
17250256,"Compared to $48 Asian dish, I found the burger expensive. Tasty though","Good taste,Too expensive","1,1"
17252279,Francesco is the best,Good services,1
17256184,More menu for non fried,Not enough options,1
17254069,I didn’t know this came with oatmeal so I made an oatmeal to go with it and I had SO MUCH OATMEAL,App to improve,1
17253809,Great to see Street deli back open . We missed you,Global positive feedbacks,1
17255800,"Let’s add more salad, tomato and less cheese. Also the bread should be better toasted","Bad quality or taste,Not enough options","1,1"
17252874,Good and filling,Good food quality,1
17248920,Always excellent service 😀,Good services,1
17248823,Actually order pick-up was very good. It took me a few times on the app to actually process my order and hope that goes better next time.,"Good services,App to improve","1,1"
17251267,Excellent service altogether. Thanks!,Good services,1
17249884,Biscuits are somewhat dry and biscuit needs a cheese option,"Bad quality or taste,Not enough options","1,1"
17253152,Great lunch.,Good taste,1
17249009,Amazing hot pot. Really tasty and good value.,Good taste,1
17257372,"Other than that very friendly """,Good services,1
17249080,App didn’t work again,App to improve,1
17256876,Needed more syrup/wasn't added ;),Wrong or missing order,1
17255928,Love this staff,Good services,1
17254024,I bet it would had been good hot,Bad food temperature,1
17250874,Delay because of typhoon meant the food was cold. The food was also very dry. Wouldn’t order rajestan rifles again.,"Bad quality or taste,Bad food temperature","1,1"
17257501,"Pizza had been flipped or turned over in box. My cheese was stuck to the top of my box, but the pizza was still good.","Good taste,Inappropriate packaging","1,1"
17257495,Pita was dry and meat was over cooked.,Bad quality or taste,1
17257098,Not enough lamb. Only 2 slices. Not good.,Portion too small,1
17257323,Ordered a bacon ciabatta and received a sausage one,Wrong or missing order,1
17255807,Lettuce didn’t seem too fresh. Salad dressing was not in the order bag. No utensils were in the order bag. Items were available in person that were net available when I ordered ahead of time ie cookies and sushi. Asked for oil and vinegar on sandwich miss,"Bad quality or taste,Wrong or missing order","1,1"
17253227,Great service from the ladies at Strollers,Good services,1
17251795,"Excellent service, cant fault it",Good services,1
17252260,Forgot lunch meat on sandwich,Wrong or missing order,1
17252022,Fluffy pancake!!!!,Good food quality,1
17254252,I ordered an omelet and the peppers were way too big and overwhelming.,Bad quality or taste,1
17252153,"Food was fresh, warm and tasty","Good food quality,Good taste,Good food temperature","1,1,1"
17257075,Not a timesaver when it tells me I have to wait a half hour. Would not let me put a Diet Coke in my cart stating there weren’t any however when I walked by the cooler there were plenty there. And as usual the actual taste of the food is HORRIBLE.,"Waited too long,App to improve,Bad quality or taste,Product not available","1,1,1,1"
17256124,Missing butter and syrup for pancakes,"Wrong or missing order,Not enough options","1,1"
17255002,"Is it plastic?""",Packaging not sustainable,1
17256929,Nice..,Global positive feedbacks,1
17250065,Cannot fault the customer service provided by the girls in the gold fish bowl. Always friendly...,Good services,1
